client_id,Loan Type,Loan Amount,Type of city,Gender,Age,Marital Status,Qualification,Employment,Loan Entity,No. of Loans,Debt,Loan Term,Annual_Income,Defaulting Payment Status,Monthly EMI,Payment_History_Monthly,Intrest Rate (Anual),Debt (Approx Anual Debt Amount),Debt to Income Ratio,Assets,credit_score,Segment
99521,0,235000,2,1,36,1,1,0,1,1,2,24,352000,0,9791.7,9791.7,17.54,212000,0.602272727,2,5.278171626297032,Excellent
99523,0,126000,1,1,30,0,2,1,2,0,1,36,306000,0,3500.0,3500.0,12.58,113000,0.369281046,3,5.606546179460138,Excellent
99525,2,206000,2,0,37,0,4,1,3,3,1,36,778000,0,5722.2,5722.2,13.02,185000,0.237789203,1,4.652287366877636,Excellent
99528,4,7388000,1,1,33,0,5,1,2,0,2,48,1889000,1,153916.7,153916.7,10.75,0,0.0,0,8.296529482752856,Good
99529,0,48000,4,1,29,1,1,2,3,0,0,12,167000,0,4000.0,4000.0,13.75,43000,0.25748503,0,7.821226391797456,Good
99530,2,459000,1,1,32,0,1,2,2,0,2,24,896000,0,19125.0,19125.0,11.66,413000,0.4609375,5,6.75686355217192,Good
99532,1,52000,4,1,45,1,0,2,0,1,0,24,152000,1,2166.7,2166.7,13.24,47000,0.309210526,0,5.439693507064534,Excellent
99533,3,1795000,1,0,42,1,1,2,0,3,2,60,2071000,0,29916.7,29916.7,12.94,1616000,0.780299372,2,1.9936136770613342,Low
99536,4,3748000,2,1,35,0,2,1,1,0,2,48,565000,0,78083.3,13610.76,13.76,3373000,5.969911504,3,7.647248113822397,Good
99538,3,693000,1,1,33,0,0,0,1,3,2,36,406000,1,19250.0,19250.0,18.84,624000,1.536945813,1,6.745895863900941,Good
99539,3,1932000,1,1,45,1,2,1,2,1,3,36,2129000,0,53666.7,53666.7,11.94,1739000,0.816815406,0,7.446952386149107,Good
99541,1,248000,1,0,32,1,0,2,3,1,1,36,726000,0,6888.9,6888.9,11.31,223000,0.307162534,5,3.5856399659956235,Low
99542,4,1796000,4,0,33,2,4,1,3,0,3,60,468000,0,29933.3,29933.3,10.06,1616000,3.452991453,0,6.557405786032097,Excellent
99543,3,2353000,1,1,39,0,0,1,1,2,2,60,2383000,0,39216.7,39216.7,17.39,2118000,0.888795636,1,6.769467195285683,Good
99544,1,255000,1,0,32,0,2,1,1,1,2,36,641000,0,7083.3,7083.3,15.68,230000,0.358814353,0,1.8469020984843514,Low
99553,3,2420000,1,1,34,0,2,1,2,1,3,36,2594000,1,67222.2,67222.2,18.94,2178000,0.839629915,3,7.834343083939341,Good
99559,0,186000,2,1,22,0,0,2,2,0,2,24,382000,0,7750.0,7750.0,17.31,167000,0.437172775,1,6.245016586871481,Excellent
99562,3,778000,1,1,26,1,4,1,1,0,1,24,1808000,0,32416.7,32416.7,17.81,700000,0.387168142,2,6.698137835136383,Good
99566,1,453000,2,0,42,2,2,1,1,1,1,24,785000,0,18875.0,18875.0,18.05,408000,0.519745223,2,2.3726004836051957,Low
99571,0,162000,2,0,27,1,2,1,1,0,1,24,497000,0,6750.0,6750.0,18.13,146000,0.293762575,4,1.7706343809237852,Low
99573,2,658000,1,0,27,1,2,2,1,0,2,24,2507000,1,27416.7,27416.7,22.49,0,0.0,0,2.8084580792516234,Low
99574,0,39000,3,1,27,0,0,0,1,0,1,18,40000,0,2166.7,2166.7,18.72,35000,0.875,2,5.719677688625139,Excellent
99575,3,1373000,1,1,42,1,3,1,2,0,3,36,2749000,0,38138.9,38138.9,17.15,1430000,0.52018916,3,7.680917099514821,Good
99576,3,1693000,1,1,49,1,5,1,0,0,3,48,4822000,1,35270.8,56302.23,10.02,0,0.0,0,5.371464408856436,Excellent
99577,2,382000,2,0,50,1,3,1,1,1,2,36,1454000,0,10611.1,20963.11,16.66,344000,0.236588721,3,2.8861128514407297,Low
99584,4,5849000,1,1,41,1,3,1,2,0,3,72,1596000,0,81236.1,81236.1,10.03,5264000,3.298245614,3,8.168918025237595,Good
99586,0,182000,1,1,32,0,3,1,3,2,2,24,632000,0,7583.3,8858.5,9.84,164000,0.259493671,3,6.450988980107279,Excellent
99587,0,9000,2,0,22,0,2,1,3,0,0,3,23000,0,3000.0,3000.0,9.36,8000,0.347826087,2,3.2753453652373574,Low
99588,1,90000,3,1,25,1,4,2,3,1,0,3,534000,0,30000.0,30000.0,10.78,81000,0.151685393,4,7.867847081819306,Good
99590,1,445000,1,0,23,0,1,2,2,1,2,48,1229000,0,9270.8,9270.8,15.39,400000,0.32546786,3,2.8247622719801244,Low
99592,1,140000,1,1,37,1,4,1,3,0,2,36,617000,0,3888.9,7248.71,12.68,126000,0.204213938,0,7.182921630541129,Good
99593,0,238000,1,1,33,0,3,2,2,2,2,36,918000,0,6611.1,6611.1,19.19,214000,0.233115468,0,5.951791139669648,Excellent
99594,2,419000,2,1,26,1,0,2,1,1,2,48,1256000,0,8729.2,8729.2,26.09,377000,0.300159236,4,6.904871018258465,Good
99596,3,2064000,1,1,44,1,2,1,1,0,3,60,3197000,0,34400.0,21600.98,15.16,1858000,0.581169847,3,6.6381835314164706,Excellent
99598,3,1872000,1,1,45,1,3,2,2,0,3,36,3777000,0,52000.0,52000.0,14.69,1685000,0.44612126,0,7.584302953883682,Good
99603,3,1015000,1,1,28,0,0,1,2,0,3,48,984000,0,21145.8,21145.8,16.76,914000,0.928861789,5,7.639832467499399,Good
99604,0,111000,2,1,25,1,2,2,1,2,1,48,421000,0,2312.5,2312.5,16.58,100000,0.237529691,3,5.221679212382238,Excellent
99605,3,906000,1,1,33,1,1,2,1,0,2,36,884000,1,25166.7,29169.78,16.84,0,0.0,5,6.655988580640217,Excellent
99607,4,1933000,2,1,47,1,3,1,3,0,3,36,503000,0,53694.4,53694.4,10.21,1740000,3.459244533,3,9.321413938968,Good
99608,0,258000,1,0,31,0,2,1,0,0,2,48,621000,0,5375.0,5375.0,10.28,232000,0.373590982,0,0.0,Low
99609,1,172000,1,0,31,1,2,2,2,0,2,36,639000,0,4777.8,4777.8,15.4,155000,0.24256651,3,2.8091811560686466,Low
99610,0,53000,1,1,26,1,4,1,3,0,1,18,275000,0,2944.4,2839.82,13.02,48000,0.174545455,0,6.606301671818309,Excellent
99613,1,359000,3,1,38,1,4,1,1,0,2,36,1659000,0,9972.2,9972.2,18.99,323000,0.1946956,2,6.341284497618305,Excellent
99614,2,602000,1,1,34,0,4,2,3,0,2,36,2119000,0,16722.2,16722.2,11.36,542000,0.255781029,0,7.7314407426404905,Good
99617,3,1876000,1,1,30,0,3,2,2,0,3,60,3154000,0,31266.7,31266.7,18.45,1688000,0.535193405,3,7.777170509459971,Good
99619,2,990000,1,1,60,2,3,2,3,1,2,48,3515000,0,20625.0,20625.0,11.23,891000,0.253485064,0,7.7476533221610495,Good
99623,3,1476000,2,1,41,1,2,1,3,0,3,48,826000,0,30750.0,30750.0,13.62,1328000,1.607748184,3,8.880264143991596,Good
99625,4,7063000,1,1,37,1,4,1,2,0,2,48,2329000,0,147145.8,147145.8,10.22,6357000,2.729497638,0,8.25021775200231,Good
99626,4,2230000,2,1,45,0,1,2,2,0,3,48,382000,1,46458.3,54798.15,10.12,0,0.0,2,8.352794463212346,Good
99627,4,9417000,1,1,36,0,3,1,3,0,3,48,1932000,0,196187.5,196187.5,7.3,8475000,4.386645963,3,9.220906630232344,Good
99628,0,78000,3,0,22,0,3,2,3,3,1,12,275000,0,6500.0,6500.0,10.72,70000,0.254545455,4,3.7416949924195704,Low
99632,3,2268000,1,1,48,1,4,2,1,0,3,48,5954000,1,47250.0,47250.0,16.74,0,0.0,0,6.73115571679214,Good
99633,3,1535000,1,1,30,1,2,2,0,0,3,48,2538000,0,31979.2,31979.2,13.16,1382000,0.544523247,3,5.523018267618815,Excellent
99634,0,159000,3,1,32,1,0,2,2,0,2,24,428000,0,6625.0,6625.0,17.33,143000,0.33411215,2,6.637056305963844,Excellent
99635,4,1998000,3,1,38,1,0,2,3,2,1,36,418000,1,55500.0,55500.0,9.04,1798000,4.301435407,2,9.657911185530747,Good
99636,1,341000,3,0,32,0,5,2,3,0,2,24,509000,0,14208.3,14208.3,13.92,307000,0.603143418,2,4.510050952995374,Excellent
99639,2,500000,2,0,25,1,0,0,2,0,2,36,397000,0,13888.9,13888.9,12.89,450000,1.133501259,2,3.681441766212094,Low
99641,3,1920000,1,0,32,1,5,2,2,3,2,36,6962000,0,53333.3,53333.3,12.11,2000000,0.287273772,4,3.9214937328215207,Low
99642,1,99000,1,1,42,0,5,1,2,1,1,18,461000,0,5500.0,8055.07,17.05,89000,0.193058568,1,6.42287099931192,Excellent
99643,0,17000,3,0,33,0,4,2,3,1,1,18,70000,0,944.4,944.4,10.57,15000,0.214285714,2,3.7304142461256253,Low
99645,3,1030000,1,1,34,1,4,1,1,3,2,60,2825000,0,17166.7,17166.7,15.86,927000,0.328141593,0,6.613091206411731,Excellent
99648,0,127000,2,0,30,0,5,1,0,0,2,24,476000,0,5291.7,5291.7,14.75,114000,0.239495798,2,0.6138906174721365,Low
99649,3,184000,4,1,42,1,1,1,2,0,1,36,274000,0,5111.1,5111.1,12.26,193000,0.704379562,0,8.53812165890268,Good
99650,1,89000,1,1,37,1,0,0,2,0,1,12,103000,0,7416.7,1787.33,17.49,80000,0.776699029,0,6.444823510025778,Excellent
99652,0,265000,2,1,29,1,4,1,1,1,1,36,795000,0,7361.1,7361.1,16.03,238000,0.299371069,3,5.202580042739361,Excellent
99654,3,1118000,1,1,46,1,1,1,3,0,1,48,1719000,0,23291.7,23291.7,13.7,1006000,0.585223967,0,8.47065174081947,Good
99656,0,153000,1,1,41,1,0,2,1,0,1,36,465000,0,4250.0,4250.0,16.48,138000,0.296774194,0,4.826425199962954,Excellent
99657,3,1167000,1,1,41,1,1,1,3,0,2,48,1834000,0,24312.5,24312.5,12.75,1050000,0.572519084,0,8.424870048888986,Good
99662,4,1566000,3,1,51,1,3,1,1,1,2,48,459000,0,32625.0,32625.0,11.63,1409000,3.069716776,2,7.802101440074033,Good
99663,3,387000,4,0,26,1,2,1,2,0,2,36,586000,0,10750.0,10750.0,11.23,348000,0.593856655,0,4.963859102579452,Excellent
99664,4,8137000,1,1,30,1,0,2,1,1,2,72,1677000,1,113013.9,113013.9,14.73,8383000,4.998807394,0,7.563069174450742,Good
99668,3,1244000,2,1,27,1,2,1,2,2,3,60,2376000,0,20733.3,20733.3,15.98,1120000,0.471380471,3,8.005977986095992,Good
99670,2,275000,2,0,26,0,1,1,3,0,1,24,644000,0,11458.3,11458.3,12.86,248000,0.385093168,0,4.648157842281947,Excellent
99674,3,1592000,1,1,50,1,5,1,3,0,2,48,4408000,0,33166.7,33166.7,12.11,1433000,0.325090744,0,8.41713554657455,Good
99675,3,2105000,1,1,35,1,2,1,3,1,2,36,3847000,0,58472.2,58472.2,11.28,1894000,0.492331687,0,8.404854620052157,Good
99676,3,264000,1,1,33,1,1,1,2,0,2,36,396000,0,7333.3,7333.3,19.35,238000,0.601010101,0,7.728251275658916,Good
99678,2,375000,2,1,33,1,1,2,3,0,2,48,1186000,0,7812.5,1253.44,13.08,338000,0.284991568,3,8.198784544145443,Good
99679,1,409000,2,0,25,0,5,1,3,1,1,24,1045000,0,17041.7,17041.7,10.3,368000,0.35215311,2,3.9359935381693174,Low
99681,0,23000,4,1,41,1,1,2,0,2,0,6,82000,0,3833.3,3833.3,14.71,21000,0.256097561,0,4.924384656275334,Excellent
99683,3,239000,2,0,27,1,0,1,2,0,1,24,323000,0,9958.3,9958.3,12.75,215000,0.665634675,4,4.247793387250776,Low
99684,1,194000,1,1,38,1,1,0,2,0,1,36,293000,0,5388.9,5388.9,17.23,175000,0.597269625,2,6.43769301160485,Excellent
99686,0,218000,1,0,22,0,3,1,0,0,1,48,676000,0,4541.7,4541.7,10.36,196000,0.289940828,1,0.001740535597336175,Low
99687,2,136000,3,1,49,0,2,1,2,0,2,36,265000,0,3777.8,2680.49,17.9,122000,0.460377358,4,7.842722824448347,Good
99690,3,2093000,2,1,48,1,4,1,1,0,2,48,3777000,0,43604.2,43604.2,17.71,1884000,0.498808578,1,7.163141047205834,Good
99691,0,78000,2,0,34,0,3,1,3,0,1,12,247000,0,6500.0,6500.0,12.6,70000,0.28340081,4,3.445404129140202,Low
99692,4,941000,1,1,49,1,3,1,1,0,2,24,246000,0,39208.3,39208.3,13.02,847000,3.443089431,3,7.051256286822294,Good
99693,3,596000,2,1,29,1,1,2,0,0,1,24,910000,0,24833.3,24833.3,14.81,536000,0.589010989,1,5.944803219516114,Excellent
99696,4,9897000,1,1,34,0,3,2,3,1,3,72,2087000,1,137458.3,137458.3,10.79,8907000,4.267848586,3,9.428001933599155,Good
99697,0,149000,1,0,44,2,3,0,1,0,2,36,267000,1,4138.9,4138.9,18.71,0,0.0,3,1.4069757591991225,Low
99706,2,56000,3,1,40,1,0,0,2,0,1,12,65000,1,4666.7,4666.7,17.7,0,0.0,2,7.827760429801998,Good
99707,3,1171000,1,1,38,0,4,1,3,1,2,60,1959000,0,19516.7,19516.7,10.08,1054000,0.538029607,2,8.288316811804812,Good
99708,2,344000,1,1,32,1,2,1,2,0,1,24,1133000,0,14333.3,14333.3,14.19,310000,0.273609885,2,6.879700845998564,Good
99715,0,280000,2,1,37,1,3,2,2,2,2,48,1255000,0,5833.3,5833.3,11.25,291000,0.23187251,1,5.940092907610861,Excellent
99716,1,232000,1,1,22,0,0,2,1,1,1,36,498000,0,6444.4,6444.4,17.66,209000,0.419678715,1,5.480445967541062,Excellent
99717,1,334000,1,1,24,0,3,1,3,0,2,24,1041000,1,13916.7,13916.7,11.79,0,0.0,0,7.148761644415735,Good
99718,1,39000,2,1,34,1,0,2,1,0,1,3,114000,0,13000.0,13000.0,16.47,35000,0.307017544,2,5.800709397343329,Excellent
99719,0,23000,1,1,22,0,0,2,2,0,0,3,52000,0,7666.7,7666.7,10.69,21000,0.403846154,2,5.503646101948888,Excellent
99720,1,469000,2,1,26,1,4,1,2,0,2,24,2322000,1,19541.7,19541.7,19.31,0,0.0,2,6.953073334160882,Good
99722,3,2330000,1,1,47,1,3,2,2,0,2,48,4788000,1,48541.7,48541.7,16.05,0,0.0,3,7.680977510889083,Good
99723,3,2339000,1,1,25,0,0,2,2,0,2,36,2414000,0,64972.2,64972.2,13.25,2105000,0.871996686,3,7.538058884908237,Good
99724,1,21000,3,1,24,0,1,0,0,1,1,6,26000,0,3500.0,3500.0,12.09,19000,0.730769231,2,4.986342680038552,Excellent
99726,2,435000,1,0,27,1,2,2,2,1,2,36,1701000,0,12083.3,1441.03,14.56,392000,0.230452675,1,3.3705604444285435,Low
99728,1,456000,2,1,42,0,3,1,0,1,2,24,1489000,0,19000.0,19000.0,14.87,410000,0.275352586,2,4.761803865856507,Excellent
99730,0,15000,3,1,39,1,1,1,2,0,0,6,46000,0,2500.0,1312.35,12.1,14000,0.304347826,2,6.360624888251046,Excellent
99732,4,1501000,2,1,47,1,0,1,1,0,3,48,269000,0,31270.8,31270.8,11.57,1351000,5.022304833,4,7.402589018554463,Good
99740,1,178000,1,1,38,1,1,0,0,1,1,48,274000,0,3708.3,3708.3,11.87,160000,0.583941606,2,4.199113390779205,Low
99744,1,359000,3,1,34,0,4,1,2,1,2,48,1367000,0,7479.2,7479.2,18.71,323000,0.236283833,2,7.308456430864819,Good
99749,3,2337000,1,0,35,0,0,2,2,0,3,48,1961000,0,48687.5,48687.5,18.96,2103000,1.072412035,0,4.297014181225976,Low
99752,0,234000,3,1,33,1,0,2,1,0,1,24,715000,0,9750.0,9750.0,18.48,211000,0.295104895,4,5.718877355021884,Excellent
99754,0,286000,1,1,22,0,2,2,2,0,2,36,719000,1,7944.4,7944.4,18.95,0,0.0,0,5.942325110616437,Excellent
99756,3,1262000,1,1,49,1,2,1,1,0,2,60,1156000,1,21033.3,21033.3,18.74,0,0.0,1,6.7743154048704435,Good
99759,1,275000,1,1,22,0,5,1,2,0,1,48,1177000,0,5729.2,2326.7,11.45,248000,0.210705183,0,6.146347896201197,Excellent
99764,3,1440000,1,1,43,1,0,1,3,0,2,60,1690000,0,24000.0,24000.0,13.78,1296000,0.766863905,0,8.49373228834119,Good
99767,0,52000,3,1,35,1,1,2,2,0,1,18,168000,0,2888.9,5366.97,11.9,47000,0.279761905,4,6.352559679779153,Excellent
99768,0,40000,4,1,31,1,1,1,2,0,1,18,110000,0,2222.2,2222.2,14.95,36000,0.327272727,0,6.900716157671195,Good
99769,1,416000,1,0,32,0,0,2,1,0,1,24,899000,0,17333.3,17333.3,16.92,374000,0.416017798,0,1.919920591715282,Low
99776,4,7032000,1,1,34,1,3,1,0,2,3,60,1911000,1,117200.0,117200.0,10.35,6329000,3.311878598,1,6.292016730614488,Excellent
99778,3,2301000,1,1,39,1,0,2,2,0,3,48,3187000,0,47937.5,47937.5,17.84,2071000,0.649827424,3,7.770972962632289,Good
99779,4,8326000,1,1,38,0,0,0,1,0,3,48,552000,0,173458.3,173458.3,13.84,7493000,13.57427536,0,7.528614436779433,Good
99780,2,998000,1,1,37,1,4,1,3,2,2,48,5022000,0,20791.7,20791.7,12.61,898000,0.178813222,3,7.818824877025099,Good
99781,3,763000,2,0,42,1,0,1,2,1,1,24,1077000,0,31791.7,31791.7,13.37,687000,0.637883008,2,4.31044709598907,Low
99784,4,3254000,2,1,30,0,4,2,0,0,2,36,777000,0,90388.9,90388.9,10.89,2929000,3.76962677,0,6.489574401730357,Excellent
99785,2,709000,1,0,26,1,0,1,1,1,2,24,1997000,0,29541.7,29541.7,17.33,638000,0.319479219,0,2.5471082012986717,Low
99790,1,212000,2,1,29,0,2,1,2,0,2,36,494000,0,5888.9,10491.87,11.75,191000,0.386639676,0,6.550610322039309,Excellent
99793,3,2291000,1,0,26,1,2,1,2,2,3,48,3904000,0,47729.2,47729.2,11.11,2062000,0.52817623,0,3.892132447970162,Low
99794,4,5286000,1,1,43,1,3,1,3,0,3,48,1355000,0,110125.0,110125.0,10.03,4757000,3.510701107,1,9.117245852290216,Good
99795,0,294000,1,1,43,1,3,1,1,1,1,48,1270000,0,6125.0,6125.0,15.81,265000,0.208661417,4,4.800411854353689,Excellent
99797,3,521000,1,0,27,0,1,2,1,1,1,24,595000,0,21708.3,21708.3,17.67,469000,0.788235294,0,3.142354482695769,Low
99798,4,5144000,2,1,29,0,0,2,3,1,2,60,718000,0,85733.3,85733.3,10.07,4630000,6.448467967,2,9.503530922817658,Good
99803,1,23000,3,0,27,0,1,1,1,1,1,12,49000,1,1916.7,1916.7,15.58,21000,0.428571429,2,2.61331592269626,Low
99804,2,747000,1,1,48,1,2,1,2,0,2,48,2420000,0,15562.5,15562.5,19.37,672000,0.27768595,2,7.168838801311937,Good
99805,3,2243000,1,1,40,1,3,1,3,1,3,60,4491000,0,37383.3,37383.3,10.42,2019000,0.449565798,0,8.368930372099246,Good
99808,4,3727000,1,0,29,0,3,1,2,1,1,36,711000,0,103527.8,103527.8,10.79,3354000,4.717299578,4,4.5493010107725285,Excellent
99810,0,219000,2,0,26,0,1,2,1,0,2,36,527000,0,6083.3,6083.3,18.97,197000,0.373814042,4,1.8170293021762873,Low
99812,1,142000,2,0,45,1,1,2,0,2,1,48,529000,0,2958.3,2958.3,12.09,128000,0.241965974,4,1.0674082629582828,Low
99817,0,171000,1,0,28,1,1,2,2,3,1,36,638000,0,4750.0,4750.0,15.51,154000,0.24137931,0,2.225847598537167,Low
99818,3,787000,1,1,46,1,3,1,3,0,1,24,1632000,0,32791.7,32791.7,12.15,708000,0.433823529,0,8.371729821664264,Good
99820,4,7394000,2,1,31,1,4,2,3,0,3,72,2397000,0,102694.4,102694.4,8.66,6655000,2.776387151,2,9.563932210602928,Good
99822,0,88000,2,0,39,1,4,1,3,0,1,12,386000,0,7333.3,7333.3,10.79,79000,0.204663212,4,3.3532639845313454,Low
99824,2,908000,1,1,48,1,5,1,3,0,1,48,4674000,0,18916.7,18916.7,13.56,817000,0.174796748,0,7.862189606279067,Good
99825,3,2279000,1,0,40,0,0,1,3,1,2,48,2049000,0,47479.2,47479.2,10.01,2051000,1.000976086,2,4.816586860868595,Excellent
99826,2,863000,1,1,44,1,1,2,1,0,1,36,2859000,0,23972.2,23972.2,26.92,777000,0.271773347,0,6.580960650220206,Excellent
99828,0,17000,3,1,30,1,3,1,3,0,0,24,62000,0,708.3,1080.95,10.02,18000,0.290322581,2,7.235697392910821,Good
99830,3,2045000,1,1,50,0,3,1,3,1,3,48,3099000,0,42604.2,42604.2,12.5,1840000,0.593739916,0,8.463820457962393,Good
99833,2,522000,1,1,30,0,0,1,2,0,2,36,965000,0,14500.0,14500.0,13.59,470000,0.487046632,0,6.85945489129817,Good
99835,1,385000,1,1,27,1,3,1,3,0,1,48,1541000,0,8020.8,8020.8,13.71,346000,0.224529526,1,7.250133261336201,Good
99836,1,454000,3,1,24,0,1,2,3,0,1,36,549000,0,12611.1,9808.27,12.42,409000,0.744990893,2,7.97332522763782,Good
99841,1,131000,1,0,43,0,5,2,3,1,2,24,644000,0,5458.3,5458.3,12.13,118000,0.183229814,0,3.620752896459049,Low
99842,2,702000,1,1,49,1,0,1,3,0,1,36,1614000,0,19500.0,19500.0,11.89,632000,0.39157373,5,7.7644886538247775,Good
99847,1,318000,1,1,22,0,0,2,1,2,1,36,674000,0,8833.3,8833.3,17.54,286000,0.424332344,0,5.479367872183827,Excellent
99852,4,4015000,1,0,44,1,0,1,3,1,2,60,713000,0,66916.7,66916.7,7.26,3614000,5.068723703,1,5.366947121999081,Excellent
99855,1,228000,1,0,31,1,0,1,0,0,2,24,523000,0,9500.0,9500.0,10.86,205000,0.391969407,1,0.616856074142085,Low
99856,1,30000,2,1,27,1,0,1,3,1,1,18,75000,0,1666.7,1666.7,11.18,27000,0.36,3,7.492196062642514,Good
99857,0,291000,2,0,35,1,0,1,2,0,1,24,743000,0,12125.0,20298.89,19.49,262000,0.352624495,4,2.829431137330719,Low
99859,2,245000,1,1,47,1,5,2,0,0,1,36,1550000,0,6805.6,3498.58,13.34,220000,0.141935484,0,4.867283991019048,Excellent
99860,1,488000,1,0,39,1,4,1,2,0,1,36,2416000,0,13555.6,13555.6,14.0,439000,0.181705298,3,2.7560848643888454,Low
99865,0,129000,1,0,30,0,0,0,1,0,1,48,119000,0,2687.5,99.63,18.86,116000,0.974789916,0,1.413481530449214,Low
99866,0,59000,3,1,39,1,4,2,2,0,1,12,326000,0,4916.7,4916.7,16.94,53000,0.162576687,4,6.611180853717733,Excellent
99868,3,1539000,2,0,44,1,1,2,0,0,3,60,1253000,1,25650.0,25650.0,13.98,0,0.0,4,2.4244102619002623,Low
99870,0,6000,1,0,44,1,1,2,1,0,0,18,20000,0,333.3,333.3,18.03,5000,0.25,0,1.3637082072861928,Low
99874,0,248000,2,1,43,1,0,2,2,1,2,36,640000,0,6888.9,6888.9,11.3,223000,0.3484375,5,5.940768090194915,Excellent
99877,4,3378000,3,1,47,1,4,1,3,0,2,48,955000,1,70375.0,70375.0,8.56,0,0.0,2,9.714671324415782,Good
99878,4,8069000,1,1,39,1,0,2,1,0,2,48,1535000,1,168104.2,168104.2,11.4,0,0.0,0,7.388458494396827,Good
99879,4,4687000,2,0,37,1,4,2,2,0,3,36,1266000,0,130194.4,130194.4,10.96,4901000,3.871248025,4,5.007209462462644,Excellent
